cohort,analysis,adjustment_set,state_definition,standardization,persistent,outcome,exposure,term,estimate,std_error,p_value,n,clusters,converged,covariates_used,estimand,death_handling,mortality_available,paired_intervals
hrs,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0435841863528034,0.0052725799586283,1.382995700586402e-16,154575,30667,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
hrs,continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0403361862014319,0.0060350386308266,2.3303663212633033e-11,122474,27754,True,"depression,psychiatric,smoking,bmi,physical_activity,alcohol",observed_interval_change,not_applicable_to_observed_interval_change,True,
hrs,continuous_gee_fixed_unannualised,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1601821646165888,0.0070617367855854,6.576976770482049e-114,147664,30958,True,,observed_interval_change,not_applicable_to_observed_interval_change,True,
hrs,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1565741844066936,0.0071544938003843,3.631331843755513e-106,141450,29907,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
hrs,continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1487188310424169,0.0079552481634718,5.495447055185589e-78,112782,26885,True,"depression,psychiatric,smoking,bmi,physical_activity,alcohol",observed_interval_change,not_applicable_to_observed_interval_change,True,
klosa,continuous_gee_fixed_unannualised,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0775884166931836,0.0171892856207083,6.368641887022887e-06,26073,8149,True,,observed_interval_change,not_applicable_to_observed_interval_change,True,
klosa,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0778156728733471,0.0170773574425277,5.197401205352731e-06,25996,8144,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
klosa,continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0854163042178313,0.0172908261005099,7.813130038529104e-07,25436,8072,True,"depression,psychiatric,smoking,bmi,physical_activity,alcohol",observed_interval_change,not_applicable_to_observed_interval_change,True,
klosa,continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0849619047105344,0.0173304202289418,9.46379746905024e-07,25318,8058,True,"depression,psychiatric,smoking,bmi,physical_activity,alcohol,wealth,marital",observed_interval_change,not_applicable_to_observed_interval_change,True,
klosa,continuous_gee_fixed_unannualised,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1793641363963314,0.0254224652390442,1.7217917385247248e-12,28262,8451,True,,observed_interval_change,not_applicable_to_observed_interval_change,True,
klosa,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1765478034274707,0.0253289724780543,3.165085423722756e-12,28163,8448,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
klosa,continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1837941148155482,0.0256895102128134,8.401386318674879e-13,27536,8374,True,"depression,psychiatric,smoking,bmi,physical_activity,alcohol",observed_interval_change,not_applicable_to_observed_interval_change,True,
klosa,continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1843586124890872,0.0258007545762237,8.968608203120507e-13,27387,8360,True,"depression,psychiatric,smoking,bmi,physical_activity,alcohol,wealth,marital",observed_interval_change,not_applicable_to_observed_interval_change,True,
mhas,continuous_gee_fixed_unannualised,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0619209803445029,0.0117044274452117,1.2205613006064953e-07,22586,13094,True,,observed_interval_change,not_applicable_to_observed_interval_change,True,
mhas,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0596952234293818,0.0116857664265193,3.249491532413031e-07,22585,13094,True,depression,observed_interval_change,not_applicable_to_observed_interval_change,True,
mhas,continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0630457052459077,0.012415388004046,3.8136970043656073e-07,19897,12272,True,"depression,smoking,bmi,physical_activity,alcohol",observed_interval_change,not_applicable_to_observed_interval_change,True,
mhas,continuous_gee_fixed_unannualised,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1476079065017866,0.0211000923613089,2.6411714781683624e-12,20048,11961,True,,observed_interval_change,not_applicable_to_observed_interval_change,True,
mhas,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1425324813580648,0.0210085828857431,1.164988073812982e-11,20047,11961,True,depression,observed_interval_change,not_applicable_to_observed_interval_change,True,
mhas,continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.12112228854945,0.0207779514466834,5.563827585755088e-09,17727,11181,True,"depression,smoking,bmi,physical_activity,alcohol",observed_interval_change,not_applicable_to_observed_interval_change,True,
share,continuous_gee_fixed_unannualised,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.067331276636133,0.0060974572288251,2.382631072719485e-28,96818,54838,True,,observed_interval_change,not_applicable_to_observed_interval_change,True,
share,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0634875580553735,0.006092279913885,1.988825002844804e-25,96805,54833,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
share,continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0573547961969403,0.0065728396125618,2.6376854501461732e-18,80901,52311,True,"depression,psychiatric,smoking,bmi,physical_activity,alcohol",observed_interval_change,not_applicable_to_observed_interval_change,True,
share,continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0575118843381782,0.0065870334573493,2.522629162586724e-18,80437,52013,True,"depression,psychiatric,smoking,bmi,physical_activity,alcohol,wealth,marital",observed_interval_change,not_applicable_to_observed_interval_change,True,
share,continuous_gee_fixed_unannualised,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1641821956461847,0.0089018883231398,5.878169374641583e-76,107488,60204,True,,observed_interval_change,not_applicable_to_observed_interval_change,True,
share,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1584535190575655,0.0088717411861346,2.3958807207285008e-71,107329,60145,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
share,continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1445554168811817,0.0094357644910718,5.6262910138216245e-53,88933,57210,True,"depression,psychiatric,smoking,bmi,physical_activity,alcohol",observed_interval_change,not_applicable_to_observed_interval_change,True,
share,continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1441831784052797,0.0094688894152548,2.3393815704389637e-52,88391,56848,True,"depression,psychiatric,smoking,bmi,physical_activity,alcohol,wealth,marital",observed_interval_change,not_applicable_to_observed_interval_change,True,
charls,continuous_gee_wave_unannualised,mental_health,continuous,wave,False,cognitive_worsening_wave_raw,cmm4_change_raw,cmm4_change_raw,0.0217387273749565,0.0103778092177933,0.0361948373510708,35826,15464,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
charls,continuous_gee_wave_unannualised,mental_health,continuous,wave,False,functional_worsening_wave_raw,cmm4_change_raw,cmm4_change_raw,0.1552953351849859,0.0110589823767818,8.568390944626826e-45,54868,20616,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
elsa,continuous_gee_wave_unannualised,mental_health,continuous,wave,False,cognitive_worsening_wave_raw,cmm4_change_raw,cmm4_change_raw,0.0302971406783909,0.0126143128252494,0.0163143280302749,45148,11323,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,False,
elsa,continuous_gee_wave_unannualised,mental_health,continuous,wave,False,functional_worsening_wave_raw,cmm4_change_raw,cmm4_change_raw,0.156504603447288,0.0154476010043083,4.0119258999880584e-24,46567,11586,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,False,
hrs,continuous_gee_wave_unannualised,mental_health,continuous,wave,False,cognitive_worsening_wave_raw,cmm4_change_raw,cmm4_change_raw,0.0450407800694401,0.0054901775393472,2.3274254720954733e-16,154575,30667,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
hrs,continuous_gee_wave_unannualised,mental_health,continuous,wave,False,functional_worsening_wave_raw,cmm4_change_raw,cmm4_change_raw,0.1546802700190431,0.0070843384230289,1.1004977988475375e-105,141450,29907,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
klosa,continuous_gee_wave_unannualised,mental_health,continuous,wave,False,cognitive_worsening_wave_raw,cmm4_change_raw,cmm4_change_raw,0.0812065177194419,0.0170867544575867,2.008168977717566e-06,25996,8144,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
klosa,continuous_gee_wave_unannualised,mental_health,continuous,wave,False,functional_worsening_wave_raw,cmm4_change_raw,cmm4_change_raw,0.1817136785041083,0.0260473956087654,3.0311877618263026e-12,28163,8448,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
mhas,continuous_gee_wave_unannualised,mental_health,continuous,wave,False,cognitive_worsening_wave_raw,cmm4_change_raw,cmm4_change_raw,0.0517476806934187,0.0111885058823992,3.744625801725989e-06,22585,13094,True,depression,observed_interval_change,not_applicable_to_observed_interval_change,True,
mhas,continuous_gee_wave_unannualised,mental_health,continuous,wave,False,functional_worsening_wave_raw,cmm4_change_raw,cmm4_change_raw,0.1271815156489384,0.0190123232735918,2.240487686327717e-11,20047,11961,True,depression,observed_interval_change,not_applicable_to_observed_interval_change,True,
share,continuous_gee_wave_unannualised,mental_health,continuous,wave,False,cognitive_worsening_wave_raw,cmm4_change_raw,cmm4_change_raw,0.0703747140658458,0.0061142802990184,1.1762379299164533e-30,96805,54833,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
share,continuous_gee_wave_unannualised,mental_health,continuous,wave,False,functional_worsening_wave_raw,cmm4_change_raw,cmm4_change_raw,0.1470350335360752,0.0081753349774274,2.5446957332503743e-72,107329,60145,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
charls,continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_annual,cmm4_change_annual,cmm4_change_annual,0.0316151560047358,0.0106506485986626,0.0029937546025477,35826,15464,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
charls,continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,functional_worsening_fixed_annual,cmm4_change_annual,cmm4_change_annual,0.1722067824254766,0.0120105529680052,1.2673296056035444e-46,54868,20616,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
elsa,continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_annual,cmm4_change_annual,cmm4_change_annual,0.0315983340765967,0.0129822745873773,0.0149346548560707,45148,11323,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,False,
elsa,continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,functional_worsening_fixed_annual,cmm4_change_annual,cmm4_change_annual,0.166439375567109,0.0176479456149413,4.0584655981392695e-21,46567,11586,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,False,
hrs,continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_annual,cmm4_change_annual,cmm4_change_annual,0.0380829335742948,0.0061447802206958,5.732802574322984e-10,154575,30667,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
hrs,continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,functional_worsening_fixed_annual,cmm4_change_annual,cmm4_change_annual,0.1472928034858541,0.0071803759084157,1.6398389380589948e-93,141450,29907,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
klosa,continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_annual,cmm4_change_annual,cmm4_change_annual,0.0758410916047962,0.0170113028608996,8.262128707318583e-06,25996,8144,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
klosa,continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,functional_worsening_fixed_annual,cmm4_change_annual,cmm4_change_annual,0.1746186116792054,0.0253093996850392,5.223803912540014e-12,28163,8448,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
mhas,continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_annual,cmm4_change_annual,cmm4_change_annual,0.0599279173365011,0.0116936743920538,2.978301136605439e-07,22585,13094,True,depression,observed_interval_change,not_applicable_to_observed_interval_change,True,
mhas,continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,functional_worsening_fixed_annual,cmm4_change_annual,cmm4_change_annual,0.1436812836580195,0.0211639482667284,1.1294158806777403e-11,20047,11961,True,depression,observed_interval_change,not_applicable_to_observed_interval_change,True,
share,continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_annual,cmm4_change_annual,cmm4_change_annual,0.0599140862304112,0.0063523538088739,4.0313778794481766e-21,96805,54833,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
share,continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,functional_worsening_fixed_annual,cmm4_change_annual,cmm4_change_annual,0.1547061224400985,0.0089305872518747,3.1451771531194645e-67,107329,60145,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
charls,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm5_change_raw,cmm5_change_raw,0.0137550180014458,0.0082251479637223,0.0944627101093601,35279,15347,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
charls,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm5_change_raw,cmm5_change_raw,0.1390599720460303,0.0092511869284951,4.559865134462854e-51,53884,20502,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
elsa,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm5_change_raw,cmm5_change_raw,0.018548889473198,0.009906878978301,0.0611617617034241,43955,11029,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,False,
elsa,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm5_change_raw,cmm5_change_raw,0.1206871032108329,0.0129902185337,1.5340114518635786e-20,45340,11290,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,False,
hrs,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm5_change_raw,cmm5_change_raw,0.0411105453368846,0.0081894415779356,5.168630795299964e-07,44387,19128,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
hrs,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm5_change_raw,cmm5_change_raw,0.1045908219067004,0.0102632722911863,2.179922461084803e-24,41728,18525,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
share,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm5_change_raw,cmm5_change_raw,0.0473962707489648,0.0048555515828914,1.6510147530179065e-22,96804,54832,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
share,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm5_change_raw,cmm5_change_raw,0.1164620626736383,0.0068748042904206,2.2650702807463592e-64,107328,60145,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
charls,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,cognitive_only,cmm4_start,cmm4_start,-0.0920566712869945,0.0345311993240014,0.0076782879007612,25671,12417,True,"depression,psychiatric",joint_competing_state_transition,validated_five_state_competing_transition,True,
charls,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,functional_only,cmm4_start,cmm4_start,0.2464733193685748,0.0265631307904741,1.71437863332944e-20,25671,12417,True,"depression,psychiatric",joint_competing_state_transition,validated_five_state_competing_transition,True,
charls,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,joint,cmm4_start,cmm4_start,0.0860278027057904,0.0588133560090173,0.143542472472425,25671,12417,True,"depression,psychiatric",joint_competing_state_transition,validated_five_state_competing_transition,True,
charls,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,death,cmm4_start,cmm4_start,0.2032900370191471,0.0714131986319032,0.004417869258516,25671,12417,True,"depression,psychiatric",joint_competing_state_transition,validated_five_state_competing_transition,True,
elsa,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,cognitive_only,cmm4_start,cmm4_start,0.0253327121186128,0.0251869077238953,0.3145171297546831,36508,10887,True,"depression,psychiatric",joint_competing_state_transition,four_state_transition_mortality_endpoint_unavailable,False,
elsa,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,functional_only,cmm4_start,cmm4_start,0.3601998044138618,0.0296094151791434,4.771948771437657e-34,36508,10887,True,"depression,psychiatric",joint_competing_state_transition,four_state_transition_mortality_endpoint_unavailable,False,
elsa,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,joint,cmm4_start,cmm4_start,0.2650252170742303,0.050333753778666,1.3991667531278418e-07,36508,10887,True,"depression,psychiatric",joint_competing_state_transition,four_state_transition_mortality_endpoint_unavailable,False,
hrs,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,cognitive_only,cmm4_start,cmm4_start,0.059260517982002,0.0152825727396023,0.0001054688882504,101626,24941,True,"depression,psychiatric",joint_competing_state_transition,validated_five_state_competing_transition,True,
hrs,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,functional_only,cmm4_start,cmm4_start,0.2771893414909525,0.0156555742979341,3.804736698354721e-70,101626,24941,True,"depression,psychiatric",joint_competing_state_transition,validated_five_state_competing_transition,True,
hrs,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,joint,cmm4_start,cmm4_start,0.3101039037154838,0.0311608386175591,2.4786465419522626e-23,101626,24941,True,"depression,psychiatric",joint_competing_state_transition,validated_five_state_competing_transition,True,
hrs,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,death,cmm4_start,cmm4_start,0.3961187572249791,0.0210278725806013,3.700630817238618e-79,101626,24941,True,"depression,psychiatric",joint_competing_state_transition,validated_five_state_competing_transition,True,
mhas,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,cognitive_only,cmm4_start,cmm4_start,-0.0496124758054725,0.1162300499607779,0.6694905974524529,14574,9633,True,depression,joint_competing_state_transition,validated_five_state_competing_transition,True,
mhas,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,functional_only,cmm4_start,cmm4_start,0.3626231326329985,0.0380548127758507,1.588529078791699e-21,14574,9633,True,depression,joint_competing_state_transition,validated_five_state_competing_transition,True,
mhas,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,joint,cmm4_start,cmm4_start,0.3000734668608505,0.0689855537032634,1.362608026220295e-05,14574,9633,True,depression,joint_competing_state_transition,validated_five_state_competing_transition,True,
mhas,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,death,cmm4_start,cmm4_start,0.3038542325339607,0.0905334085440604,0.0007900244424518,14574,9633,True,depression,joint_competing_state_transition,validated_five_state_competing_transition,True,
charls,continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[cognitive],0.0209229802523419,0.0102279318365101,0.0407887825273229,34823,15119,True,"depression,psychiatric",paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,True,34823.0
charls,continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[functional],0.0937325934310499,0.0109524892796141,1.1473419332594274e-17,34823,15119,True,"depression,psychiatric",paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,True,34823.0
charls,continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[functional-minus-cognitive],0.0728096131787079,0.014026343003407,2.0925842846113977e-07,34823,15119,True,"depression,psychiatric",paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,True,34823.0
charls,continuous_domain_interaction,mental_health,continuous,wave,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[cognitive],0.0199965091376807,0.0104559896140013,0.0558190907655297,34823,15119,True,"depression,psychiatric",paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,True,34823.0
charls,continuous_domain_interaction,mental_health,continuous,wave,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[functional],0.092533501859464,0.0106758914931322,4.4163451264117304e-18,34823,15119,True,"depression,psychiatric",paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,True,34823.0
charls,continuous_domain_interaction,mental_health,continuous,wave,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[functional-minus-cognitive],0.0725369927217832,0.0139861465005856,2.1446039051098693e-07,34823,15119,True,"depression,psychiatric",paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,True,34823.0
elsa,continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[cognitive],0.025158179868746,0.0128144563211702,0.0496153331626739,45140,11322,True,"depression,psychiatric",paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,False,45140.0
elsa,continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[functional],0.0980099817287037,0.0144821492613159,1.3089939791287026e-11,45140,11322,True,"depression,psychiatric",paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,False,45140.0
elsa,continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[functional-minus-cognitive],0.0728518018599576,0.0180586887672057,5.479587828521614e-05,45140,11322,True,"depression,psychiatric",paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,False,45140.0
elsa,continuous_domain_interaction,mental_health,continuous,wave,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[cognitive],0.0244807237249926,0.0125650318259177,0.0513764864361315,45140,11322,True,"depression,psychiatric",paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,False,45140.0
