cohort,analysis,adjustment_set,state_definition,standardization,persistent,outcome,exposure,reason,n,clusters,events,non_events,exposure_levels,mortality_available
elsa,transition_gee,mental_health,legacy,fixed,False,death,cmm4_start,validated mortality endpoint unavailable,46114,12227,0.0,46114.0,5,False
charls,transition_gee,medication_burden,matched_0.20,fixed,False,any_cognitive,cmm4_start,required covariates unavailable: polypharmacy,25237,12215,2577.0,22660.0,5,True
charls,transition_gee,medication_burden,matched_0.20,fixed,False,any_functional,cmm4_start,required covariates unavailable: polypharmacy,25237,12215,3244.0,21993.0,5,True
elsa,transition_gee,lifestyle,matched_0.20,fixed,False,any_cognitive,cmm4_start,required covariates unavailable: bmi,36540,10891,4525.0,32015.0,5,False
elsa,transition_gee,socioeconomic,matched_0.20,fixed,False,any_cognitive,cmm4_start,required covariates unavailable: bmi,36540,10891,4525.0,32015.0,5,False
elsa,transition_gee,medication_burden,matched_0.20,fixed,False,any_cognitive,cmm4_start,"required covariates unavailable: bmi,polypharmacy",36540,10891,4525.0,32015.0,5,False
elsa,transition_gee,lifestyle,matched_0.20,fixed,False,any_functional,cmm4_start,required covariates unavailable: bmi,36540,10891,3021.0,33519.0,5,False
elsa,transition_gee,socioeconomic,matched_0.20,fixed,False,any_functional,cmm4_start,required covariates unavailable: bmi,36540,10891,3021.0,33519.0,5,False
elsa,transition_gee,medication_burden,matched_0.20,fixed,False,any_functional,cmm4_start,"required covariates unavailable: bmi,polypharmacy",36540,10891,3021.0,33519.0,5,False
hrs,transition_gee,socioeconomic,matched_0.20,fixed,False,any_cognitive,cmm4_start,required covariates unavailable: wealth,98847,24279,9105.0,89742.0,5,True
hrs,transition_gee,medication_burden,matched_0.20,fixed,False,any_cognitive,cmm4_start,"required covariates unavailable: wealth,polypharmacy",98847,24279,9105.0,89742.0,5,True
hrs,transition_gee,socioeconomic,matched_0.20,fixed,False,any_functional,cmm4_start,required covariates unavailable: wealth,98847,24279,8540.0,90307.0,5,True
hrs,transition_gee,medication_burden,matched_0.20,fixed,False,any_functional,cmm4_start,"required covariates unavailable: wealth,polypharmacy",98847,24279,8540.0,90307.0,5,True
klosa,transition_gee,medication_burden,matched_0.20,fixed,False,any_cognitive,cmm4_start,required covariates unavailable: polypharmacy,19876,7023,1743.0,18133.0,5,True
klosa,transition_gee,medication_burden,matched_0.20,fixed,False,any_functional,cmm4_start,required covariates unavailable: polypharmacy,19876,7023,797.0,19079.0,5,True
mhas,transition_gee,socioeconomic,matched_0.20,fixed,False,any_cognitive,cmm4_start,required covariates unavailable: wealth,14108,9298,1613.0,12495.0,5,True
mhas,transition_gee,medication_burden,matched_0.20,fixed,False,any_cognitive,cmm4_start,"required covariates unavailable: wealth,polypharmacy",14108,9298,1613.0,12495.0,5,True
mhas,transition_gee,socioeconomic,matched_0.20,fixed,False,any_functional,cmm4_start,required covariates unavailable: wealth,14108,9298,1678.0,12430.0,5,True
mhas,transition_gee,medication_burden,matched_0.20,fixed,False,any_functional,cmm4_start,"required covariates unavailable: wealth,polypharmacy",14108,9298,1678.0,12430.0,5,True
share,transition_gee,medication_burden,matched_0.20,fixed,False,any_cognitive,cmm4_start,required covariates unavailable: polypharmacy,71680,43523,6056.0,65624.0,5,True
share,transition_gee,medication_burden,matched_0.20,fixed,False,any_functional,cmm4_start,required covariates unavailable: polypharmacy,71680,43523,5866.0,65814.0,5,True
klosa,transition_gee,mental_health,matched_0.20,fixed,False,any_cognitive,cmm5_start,required covariates unavailable: depression_or_psychiatric,0,0,0.0,0.0,0,True
klosa,transition_gee,mental_health,matched_0.20,fixed,False,any_functional,cmm5_start,required covariates unavailable: depression_or_psychiatric,0,0,0.0,0.0,0,True
mhas,transition_gee,mental_health,matched_0.20,fixed,False,any_cognitive,cmm5_start,required covariates unavailable: depression_or_psychiatric,0,0,0.0,0.0,0,True
mhas,transition_gee,mental_health,matched_0.20,fixed,False,any_functional,cmm5_start,required covariates unavailable: depression_or_psychiatric,0,0,0.0,0.0,0,True
elsa,transition_gee,mental_health,matched_0.20,fixed,False,death,cmm4_start,validated mortality endpoint unavailable,44486,12180,0.0,44486.0,5,False
